Date,Time,Open,High,Low,Close,Volume,9SMA,21SMA,200SMA
2013-01-02,08:13:00,4446.25,4446.5,4445.75,4446.25,193,4445.87619861248,4445.80669195121,4429.23904347935
2013-01-02,08:14:00,4446.5,4447,4446.25,4446.75,212,4446.05095888999,4445.89244722837,4429.3975136741
2013-01-02,08:15:00,4446.5,4446.75,4446,4446.5,309,4446.14076711199,4445.94767929852,4429.55228730601
2013-01-02,08:16:00,4446.75,4446.75,4446.5,4446.5,126,4446.21261368959,4445.99789027138,4429.70566027157
2013-01-02,08:17:00,4446.75,4446.75,4446.25,4446.5,92,4446.27009095167,4446.04353661035,4429.85764524649
2013-01-02,08:18:00,4446.5,4447,4446.5,4447,255,4446.41607276134,4446.13048782759,4430.01277967865
2013-01-02,08:19:00,4446.75,4448.25,4446.5,4448.25,413,4446.78285820907,4446.32317075235,4430.17782239649
2013-01-02,08:20:00,4448.25,4448.25,4445.75,4446.25,197,4446.67628656726,4446.31651886577,4430.32327196756
2013-01-02,08:21:00,4446.5,4447,4446,4446.5,413,4446.64102925381,4446.33319896889,4430.46966769636
2013-01-02,08:22:00,4446.5,4447.25,4445.75,4446.5,618,4446.61282340304,4446.34836269899,4430.61473857694
2013-01-02,08:23:00,4446.25,4446.5,4445.25,4445.5,209,4446.39025872244,4446.27123881726,4430.74944682511
2013-01-02,08:24:00,4445.5,4446,4445.25,4445.5,118,4446.21220697795,4446.20112619751,4430.88293599411
2013-01-02,08:25:00,4445.75,4446,4445.5,4446,69,4446.16976558236,4446.18284199774,4431.01974200322
2013-01-02,08:26:00,4446,4446.75,4446,4446.75,368,4446.28581246589,4446.23440181612,4431.16209727921
2013-01-02,08:27:00,4447,4447.5,4446.5,4447.25,187,4446.47864997271,4446.32672892375,4431.30768915903
2013-01-02,08:28:00,4447.5,4447.75,4447,4447.25,261,4446.63291997817,4446.41066265795,4431.45196346529
2013-01-02,08:29:00,4447.5,4449.75,4447.5,4449.25,530,4447.15633598254,4446.6687842345,4431.61303166922
2013-01-02,08:30:00,4449.5,4453,4449.5,4452.5,1752,4448.22506878603,4447.19889475864,4431.80205400705
2013-01-02,08:31:00,4452.75,4460.25,4452.5,4458.75,5464,4450.33005502882,4448.24899523513,4432.04592682147
2013-01-02,08:32:00,4459,4460.25,4456.5,4459.75,2780,4452.21404402306,4449.29454112284,4432.29664241585
2013-01-02,08:33:00,4460,4460.5,4457.75,4460,2250,4453.77123521845,4450.26776465713,4432.54735153425
2013-01-02,08:34:00,4460,4462.5,4459,4461.25,2433,4455.26698817476,4451.2661496883,4432.80710400906
2013-01-02,08:35:00,4461,4465.25,4460.5,4465.25,3039,4457.26359053981,4452.53740880755,4433.10070487775
2013-01-02,08:36:00,4465.25,4469.5,4465.25,4468.25,4677,4459.46087243185,4453.96582618868,4433.41879804628
2013-01-02,08:37:00,4468.25,4468.75,4465,4465,2850,4460.56869794548,4454.9689328988,4433.70460077889
2013-01-02,08:38:00,4465,4467.5,4463,4463.5,2899,4461.15495835638,4455.74448445345,4433.9742424008
2013-01-02,08:39:00,4463.75,4466,4463.25,4464,2953,4461.72396668511,4456.49498586677,4434.24596871392
2013-01-02,08:40:00,4464,4465.5,4463.25,4463.5,1792,4462.07917334808,4457.13180533343,4434.5107110785
2013-01-02,08:41:00,4463.5,4464.5,4460,4460.5,1566,4461.76333867847,4457.43800484857,4434.74590826331
2013-01-02,08:42:00,4460.5,4462,4459.5,4459.75,1684,4461.36067094278,4457.64818622598,4434.97218963649
2013-01-02,08:43:00,4460,4461,4457,4457.5,2360,4460.58853675422,4457.63471475089,4435.17606122349
2013-01-02,08:44:00,4457.5,4457.5,4455,4455,1223,4459.47082940338,4457.39519522808,4435.35546338437
2013-01-02,08:45:00,4455,4457.25,4454.5,4455.25,2841,4458.6266635227,4457.20017748007,4435.53550443971
2013-01-02,08:46:00,4455,4455.25,4452.5,4455,1686,4457.90133081816,4457.00016134552,4435.7116537208
2013-01-02,08:47:00,4455,4455.5,4453.75,4454.25,955,4457.17106465453,4456.75014667774,4435.87942156043
2013-01-02,08:48:00,4454.25,4457,4453.75,4457,1376,4457.13685172362,4456.77286061613,4436.0705580169
2013-01-02,08:49:00,4457,4459,4456.75,4458.75,1364,4457.4594813789,4456.95260056012,4436.27580183575
2013-01-02,08:50:00,4459,4460,4457.75,4459.75,1492,4457.91758510312,4457.20690960011,4436.48823801823
2013-01-02,08:51:00,4459.75,4460.75,4459,4459.25,1260,4458.1840680825,4457.39264509101,4436.69422681445
2013-01-02,08:52:00,4459.25,4463.5,4459.25,4462.5,2104,4459.047254466,4457.85695008273,4436.92776322337
2013-01-02,08:53:00,4462.25,4465.5,4462,4465.25,2069,4460.2878035728,4458.52904552976,4437.18407305845
2013-01-02,08:54:00,4465.25,4467.5,4465,4465.5,2925,4461.33024285824,4459.16276866342,4437.44032579095
2013-01-02,08:55:00,4465.5,4467.75,4464.5,4467.25,3733,4462.51419428659,4459.8979715122,4437.71009659827
2013-01-02,08:56:00,4467,4468,4465.25,4467.75,3282,4463.56135542927,4460.61179228381,4437.9819509277
2013-01-02,08:57:00,4467.75,4468,4465,4465.5,1758,4463.94908434342,4461.05617480347,4438.230983046
2013-01-02,08:58:00,4465.5,4466,4465,4465.25,464,4464.20926747474,4461.43743163952,4438.47549903654
2013-01-02,08:59:00,4465.25,4465.75,4464.25,4465.25,581,4464.41741397979,4461.7840287632,4438.71780221268
2013-01-02,09:00:00,4465.5,4465.5,4463.5,4464.25,656,4464.38393118383,4462.00820796654,4438.94886282614
2013-01-02,09:01:00,4464.75,4465.5,4460.75,4462.25,1449,4463.95714494707,4462.03018906049,4439.15973284581
